,"('NN', frozenset({'IN', 'DT'}))","('NN', ('NN', ('IN',)))","('NN', frozenset({'DT', 'JJ'}))","('NN', frozenset({'DT', 'NN'}))","('NN', ('NN', ('NN',)))","('VBN', ('NN', ('DT',)))","('NN', ('NN', ('DT',)))","('VBD', ('NN', ('DT',)))","('VBN', ('NN', ('IN',)))","('NN', frozenset({'JJ', 'NN'}))"
0,0.018105849582172703,0.016713091922005572,0.008356545961002786,0.009749303621169917,0.009749303621169917,0.012534818941504178,0.006963788300835654,0.013927576601671309,0.008356545961002786,0.006963788300835654
1,0.02335456475583864,0.008492569002123142,0.014861995753715499,0.016985138004246284,0.014861995753715499,0.012738853503184714,0.012738853503184714,0.021231422505307854,0.008492569002123142,0.004246284501061571
2,0.0316055625790139,0.015170670037926675,0.017699115044247787,0.01390644753476612,0.017699115044247787,0.017699115044247787,0.012642225031605562,0.01390644753476612,0.022756005056890013,0.006321112515802781
3,0.028169014084507043,0.020246478873239437,0.020246478873239437,0.014084507042253521,0.01232394366197183,0.011443661971830986,0.014084507042253521,0.013204225352112676,0.006161971830985915,0.018485915492957746
4,0.038834951456310676,0.011095700416088766,0.009708737864077669,0.024965325936199722,0.011095700416088766,0.027739251040221916,0.008321775312066574,0.020804438280166437,0.022191400832177532,0.004160887656033287
5,0.018970189701897018,0.017163504968383016,0.024390243902439025,0.011743450767841012,0.016260162601626018,0.009033423667570008,0.013550135501355014,0.004516711833785004,0.004516711833785004,0.013550135501355014
6,0.026515151515151516,0.015151515151515152,0.013257575757575758,0.008522727272727272,0.007575757575757576,0.01231060606060606,0.01231060606060606,0.00946969696969697,0.008522727272727272,0.006628787878787879
7,0.02276176024279211,0.010622154779969651,0.004552352048558422,0.013657056145675266,0.007587253414264037,0.015174506828528073,0.006069802731411229,0.006069802731411229,0.02276176024279211,0.006069802731411229
8,0.01703800786369594,0.019659239842726082,0.007863695937090432,0.01310615989515072,0.005242463958060288,0.015727391874180863,0.009174311926605505,0.002621231979030144,0.009174311926605505,0.010484927916120577
9,0.03550295857988166,0.01972386587771203,0.027613412228796843,0.01873767258382643,0.010848126232741617,0.01873767258382643,0.01775147928994083,0.016765285996055226,0.011834319526627219,0.010848126232741617
10,0.04021739130434782,0.02282608695652174,0.014130434782608696,0.01956521739130435,0.014130434782608696,0.015217391304347827,0.016304347826086956,0.016304347826086956,0.013043478260869565,0.009782608695652175
11,0.026836158192090395,0.012711864406779662,0.011299435028248588,0.012711864406779662,0.012711864406779662,0.022598870056497175,0.007062146892655367,0.007062146892655367,0.014124293785310734,0.007062146892655367
12,0.022428884026258207,0.019693654266958426,0.0175054704595186,0.01477024070021882,0.012035010940919038,0.008205689277899343,0.014223194748358862,0.018052516411378557,0.00437636761487965,0.006564551422319475
13,0.020028612303290415,0.015736766809728183,0.020028612303290415,0.012875536480686695,0.012875536480686695,0.00715307582260372,0.017167381974248927,0.004291845493562232,0.005722460658082976,0.008583690987124463
14,0.022804054054054054,0.013513513513513514,0.014358108108108109,0.011824324324324325,0.006756756756756757,0.007601351351351352,0.01266891891891892,0.008445945945945946,0.009290540540540541,0.009290540540540541
15,0.027715355805243445,0.017228464419475654,0.021722846441947566,0.011235955056179775,0.017977528089887642,0.010486891385767791,0.00599250936329588,0.010486891385767791,0.00749063670411985,0.008239700374531835
16,0.023206751054852322,0.02531645569620253,0.017932489451476793,0.013713080168776372,0.017932489451476793,0.010548523206751054,0.008438818565400843,0.0189873417721519,0.028481012658227847,0.010548523206751054
17,0.023401826484018264,0.014840182648401826,0.014269406392694063,0.014840182648401826,0.02054794520547945,0.011986301369863013,0.007990867579908675,0.01141552511415525,0.012557077625570776,0.0091324200913242
18,0.018703241895261846,0.012468827930174564,0.017456359102244388,0.00997506234413965,0.016209476309226933,0.012468827930174564,0.008728179551122194,0.007481296758104738,0.004987531172069825,0.012468827930174564
19,0.02564102564102564,0.019230769230769232,0.020833333333333332,0.009615384615384616,0.008012820512820512,0.008012820512820512,0.009615384615384616,0.008012820512820512,0.022435897435897436,0.00641025641025641
20,0.027828191167574106,0.024198427102238355,0.013914095583787053,0.018753781004234724,0.016333938294010888,0.0102843315184513,0.021778584392014518,0.009679370840895343,0.009679370840895343,0.013914095583787053
21,0.03967446592065107,0.0254323499491353,0.011190233977619531,0.024415055951169887,0.01017293997965412,0.015259409969481181,0.019328585961342827,0.0254323499491353,0.014242115971515769,0.006103763987792472
22,0.02443384982121573,0.014302741358760428,0.02026221692491061,0.01132300357568534,0.008939213349225268,0.009535160905840286,0.010727056019070322,0.013706793802145411,0.005363528009535161,0.01132300357568534
23,0.02832415420928403,0.023603461841070025,0.01730920535011802,0.022029897718332022,0.01730920535011802,0.012588512981904013,0.014948859166011016,0.007081038552321007,0.006294256490952006,0.00865460267505901
